method,metric,estimate,ci_low,ci_high
proposed_efe,target_selection_accuracy,0.9298245614035088,0.8571428571428571,0.9830508474576272
proposed_efe,task_success_rate,0.8771929824561403,0.7962962962962963,0.9491525423728814
proposed_efe,physical_grasp_success_rate_attempted,0.9433962264150944,0.8823280159521435,1.0
proposed_efe,wrong_target_prevented_rate,0.07017543859649122,0.01694915254237288,0.14285714285714285
proposed_efe,asked_rate,0.3333333333333333,0.2807017543859649,0.38333333333333336
proposed_efe,mean_questions_all,0.6140350877192983,0.4827586206896552,0.7543859649122807
proposed_efe,mean_time_s,80.24446789005347,66.6668770204743,92.86273681251626
random_candidate,target_selection_accuracy,0.6140350877192983,0.5,0.7241379310344828
random_candidate,task_success_rate,0.5087719298245614,0.38596491228070173,0.6428874092009684
random_candidate,physical_grasp_success_rate_attempted,0.8285714285714286,0.6774193548387096,0.9487179487179487
random_candidate,wrong_target_prevented_rate,0.38596491228070173,0.27586206896551724,0.5
random_candidate,asked_rate,0.0,0.0,0.0
random_candidate,mean_questions_all,0.0,0.0,0.0
random_candidate,mean_time_s,40.238780113688684,34.239299336004,47.319542391854924
top_score,target_selection_accuracy,0.5964912280701754,0.49122807017543857,0.7017543859649122
top_score,task_success_rate,0.5263157894736842,0.4,0.6551724137931034
top_score,physical_grasp_success_rate_attempted,0.8823529411764706,0.7419354838709677,1.0
top_score,wrong_target_prevented_rate,0.40350877192982454,0.2982456140350877,0.5087719298245614
top_score,asked_rate,0.0,0.0,0.0
top_score,mean_questions_all,0.0,0.0,0.0
top_score,mean_time_s,33.319528228358216,27.429260382434677,38.818335072381814
vlm_best_question,target_selection_accuracy,0.9122807017543859,0.8421052631578947,0.9666666666666667
vlm_best_question,task_success_rate,0.8070175438596491,0.7142857142857143,0.896551724137931
vlm_best_question,physical_grasp_success_rate_attempted,0.8846153846153846,0.803921568627451,0.9607843137254902
vlm_best_question,wrong_target_prevented_rate,0.08771929824561403,0.03333333333333333,0.15789473684210525
vlm_best_question,asked_rate,0.3508771929824561,0.2830188679245283,0.4166666666666667
vlm_best_question,mean_questions_all,0.7894736842105263,0.5832954545454546,1.0
vlm_best_question,mean_time_s,97.33129783262287,81.7863866554638,112.28543584433972
