scene_id,prompt_type,N,unique_prompt_n,unique_method_n,mean_prompt_length,has_my_rate,has_color_rate,has_spatial_rate,has_relation_rate,has_size_rate,mean_candidate_set_size,duplicate_rate,low_diversity_flag
scene_001,ambiguous,17,2,7,15.117647058823529,0.8823529411764706,0.0,0.0,0.0,0.0,6.0,0.8823529411764706,True
scene_001,clear,25,15,7,21.28,0.0,0.64,0.36,0.0,0.0,1.2,0.4,False
scene_001,partial,20,13,7,22.65,0.0,0.5,0.4,0.0,0.0,1.9,0.35,False
scene_002,ambiguous,21,1,7,14.857142857142858,1.0,0.0,0.0,0.0,0.0,6.0,0.9523809523809523,True
scene_002,clear,19,13,7,21.526315789473685,0.0,0.631578947368421,0.2631578947368421,0.0,0.0,1.0,0.3157894736842105,False
scene_002,partial,19,13,7,23.05263157894737,0.0,0.2631578947368421,0.631578947368421,0.10526315789473684,0.0,3.0,0.3157894736842105,False
scene_003,ambiguous,19,1,7,15.0,1.0,0.0,0.0,0.0,0.0,6.0,0.9473684210526316,True
scene_003,clear,17,10,6,20.058823529411764,0.0,0.5882352941176471,0.11764705882352941,0.0,0.17647058823529413,1.0,0.4117647058823529,False
scene_003,partial,17,13,6,21.0,0.0,0.23529411764705882,0.5294117647058824,0.0,0.058823529411764705,2.4705882352941178,0.23529411764705888,False
scene_004,ambiguous,20,1,7,15.0,1.0,0.0,0.0,0.0,0.0,6.0,0.95,True
scene_004,clear,17,10,6,22.88235294117647,0.0,0.8235294117647058,0.5294117647058824,0.0,0.0,1.588235294117647,0.4117647058823529,False
scene_004,partial,21,14,6,22.0,0.0,0.23809523809523808,0.8571428571428571,0.0,0.0,1.2380952380952381,0.33333333333333337,False
scene_005,ambiguous,21,1,7,15.0,1.0,0.0,0.0,0.0,0.0,6.0,0.9523809523809523,True
scene_005,clear,16,13,6,22.25,0.0,0.3125,0.625,0.0,0.0,1.0625,0.1875,False
scene_005,partial,22,15,7,21.545454545454547,0.0,0.36363636363636365,0.5454545454545454,0.0,0.0,1.9545454545454546,0.31818181818181823,False
scene_006,ambiguous,20,1,7,15.0,1.0,0.0,0.0,0.0,0.0,7.0,0.95,True
scene_006,clear,17,9,7,22.294117647058822,0.0,0.5882352941176471,0.23529411764705882,0.0,0.0,1.1764705882352942,0.47058823529411764,False
scene_006,partial,19,7,7,22.263157894736842,0.0,0.5263157894736842,0.42105263157894735,0.0,0.0,1.631578947368421,0.631578947368421,True
scene_007,ambiguous,13,1,7,16.0,1.0,0.0,0.0,0.0,0.0,7.0,0.9230769230769231,True
scene_007,clear,13,6,7,22.76923076923077,0.0,0.9230769230769231,0.0,0.0,0.0,1.5384615384615385,0.5384615384615384,True
scene_007,partial,16,6,7,22.9375,0.0,0.125,0.875,0.0,0.0,1.375,0.625,True
scene_008,ambiguous,12,2,7,15.5,1.0,0.0,0.0,0.0,0.0,7.0,0.8333333333333334,True
scene_008,clear,15,6,7,20.533333333333335,0.0,0.6666666666666666,0.06666666666666667,0.0,0.0,1.0,0.6,True
scene_008,partial,13,2,7,20.846153846153847,0.0,0.46153846153846156,0.5384615384615384,0.0,0.0,2.0,0.8461538461538461,True
scene_009,ambiguous,15,1,7,15.0,1.0,0.0,0.0,0.0,0.0,7.0,0.9333333333333333,True
scene_009,clear,13,5,7,23.076923076923077,0.0,0.23076923076923078,0.15384615384615385,0.0,0.0,1.0,0.6153846153846154,True
scene_009,partial,12,4,7,22.583333333333332,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,4.5,0.6666666666666667,True
scene_010,ambiguous,11,2,6,15.727272727272727,1.0,0.0,0.0,0.0,0.0,8.0,0.8181818181818181,True
scene_010,clear,14,6,7,26.142857142857142,0.0,0.8571428571428571,1.0,0.0,0.0,1.0,0.5714285714285714,True
scene_010,partial,14,2,7,21.5,0.0,1.0,0.0,0.0,0.0,5.0,0.8571428571428572,True
scene_011,ambiguous,13,1,7,18.0,1.0,0.0,0.0,0.0,0.0,4.0,0.9230769230769231,True
scene_011,clear,13,4,7,23.53846153846154,0.0,0.6153846153846154,0.3076923076923077,0.0,0.07692307692307693,1.0,0.6923076923076923,True
scene_011,partial,11,7,7,24.09090909090909,0.0,0.0,0.9090909090909091,0.0,0.09090909090909091,1.0,0.36363636363636365,False
scene_012,ambiguous,13,1,7,18.0,1.0,0.0,0.0,0.0,0.0,4.0,0.9230769230769231,True
scene_012,clear,12,4,6,24.416666666666668,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,1.0,0.6666666666666667,True
scene_012,partial,11,3,6,24.454545454545453,0.0,0.0,1.0,0.0,0.0,1.0,0.7272727272727273,True
scene_013,ambiguous,13,1,7,18.0,1.0,0.0,0.0,0.0,0.0,4.0,0.9230769230769231,True
scene_013,clear,14,7,6,24.571428571428573,0.0,0.7142857142857143,0.21428571428571427,0.0,0.0,1.0,0.5,False
scene_013,partial,14,5,6,24.214285714285715,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,1.0,0.6428571428571428,True
scene_014,ambiguous,14,1,7,18.0,1.0,0.0,0.0,0.0,0.0,4.0,0.9285714285714286,True
scene_014,clear,13,6,7,24.692307692307693,0.0,0.6153846153846154,0.15384615384615385,0.0,0.23076923076923078,1.0,0.5384615384615384,True
scene_014,partial,12,2,7,24.416666666666668,0.0,0.0,1.0,0.0,0.0,1.5833333333333333,0.8333333333333334,True
scene_015,ambiguous,14,1,7,18.0,1.0,0.0,0.0,0.0,0.0,4.0,0.9285714285714286,True
scene_015,clear,14,8,7,24.928571428571427,0.0,0.6428571428571429,0.21428571428571427,0.0,0.14285714285714285,1.0,0.4285714285714286,False
scene_015,partial,15,2,7,24.533333333333335,0.0,0.0,1.0,0.0,0.0,1.0,0.8666666666666667,True
scene_016,ambiguous,12,2,7,16.416666666666668,1.0,0.0,0.0,0.0,0.0,3.5833333333333335,0.8333333333333334,True
scene_016,clear,12,7,7,22.833333333333332,0.0,0.75,0.25,0.0,0.0,1.5,0.41666666666666663,False
scene_016,partial,14,6,7,22.5,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,1.0,0.5714285714285714,True
scene_017,ambiguous,15,5,7,17.2,1.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.6666666666666667,True
scene_017,clear,14,12,7,22.928571428571427,0.0,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,1.3571428571428572,0.1428571428571429,False
scene_017,partial,10,5,5,22.5,0.0,0.0,1.0,0.0,0.0,2.8,0.5,False
scene_018,ambiguous,15,3,7,16.6,1.0,0.0,0.0,0.0,0.0,1.8,0.8,True
scene_018,clear,13,9,7,22.615384615384617,0.0,1.0,0.0,0.0,0.0,2.4615384615384617,0.3076923076923077,False
scene_018,partial,13,8,7,22.846153846153847,0.0,0.0,1.0,0.0,0.0,1.1538461538461537,0.3846153846153846,False
scene_019,ambiguous,12,2,6,16.5,1.0,0.0,0.0,0.0,0.0,2.0,0.8333333333333334,True
scene_019,clear,14,8,7,23.071428571428573,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,1.0714285714285714,0.4285714285714286,False
scene_019,partial,14,2,7,22.5,0.0,0.0,1.0,0.0,0.0,1.0,0.8571428571428572,True
scene_020,ambiguous,12,2,6,16.583333333333332,1.0,0.0,0.0,0.0,0.0,3.9166666666666665,0.8333333333333334,True
scene_020,clear,12,6,7,22.833333333333332,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,0.5,False
scene_020,partial,11,6,6,20.90909090909091,0.0,0.45454545454545453,0.5454545454545454,0.0,0.0,1.7272727272727273,0.4545454545454546,False
scene_021,ambiguous,16,2,7,16.5,1.0,0.0,0.0,0.0,0.0,3.5,0.875,True
scene_021,clear,16,8,7,22.875,0.0,0.875,0.125,0.0,0.0,1.0625,0.5,False
scene_021,partial,14,4,7,22.142857142857142,0.0,0.6428571428571429,0.35714285714285715,0.0,0.0,2.0,0.7142857142857143,True
scene_022,ambiguous,12,2,7,16.583333333333332,1.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.8333333333333334,True
scene_022,clear,13,6,7,22.846153846153847,0.0,0.9230769230769231,0.07692307692307693,0.0,0.0,1.1538461538461537,0.5384615384615384,True
scene_022,partial,13,4,7,22.846153846153847,0.0,0.07692307692307693,0.9230769230769231,0.0,0.0,2.8461538461538463,0.6923076923076923,True
scene_023,ambiguous,12,1,7,17.0,1.0,0.0,0.0,0.0,0.0,6.0,0.9166666666666666,True
scene_023,clear,10,6,7,24.1,0.0,0.9,0.1,0.0,0.0,1.0,0.4,False
scene_023,partial,13,3,6,23.615384615384617,0.0,0.0,1.0,0.0,0.0,2.6153846153846154,0.7692307692307692,True
scene_024,ambiguous,14,1,7,16.0,1.0,0.0,0.0,0.0,0.0,4.0,0.9285714285714286,True
scene_024,clear,11,6,7,22.272727272727273,0.0,0.8181818181818182,0.18181818181818182,0.0,0.0,1.0909090909090908,0.4545454545454546,False
scene_024,partial,13,2,7,22.53846153846154,0.0,0.0,1.0,0.0,0.0,1.4615384615384615,0.8461538461538461,True
scene_025,ambiguous,13,1,7,16.0,1.0,0.0,0.0,0.0,0.0,4.0,0.9230769230769231,True
scene_025,clear,12,6,6,22.75,0.0,0.75,0.25,0.0,0.0,1.1666666666666667,0.5,False
scene_025,partial,13,2,7,21.923076923076923,0.0,1.0,0.0,0.0,0.0,2.0,0.8461538461538461,True
scene_026,ambiguous,13,1,7,18.0,1.0,0.0,0.0,0.0,0.0,4.0,0.9230769230769231,True
scene_026,clear,13,6,6,24.153846153846153,0.0,0.8461538461538461,0.07692307692307693,0.0,0.07692307692307693,1.0,0.5384615384615384,True
scene_026,partial,13,2,7,25.53846153846154,0.0,0.0,1.0,0.0,0.0,1.0,0.8461538461538461,True
scene_027,ambiguous,13,2,7,16.615384615384617,1.0,0.0,0.0,0.0,0.0,3.0,0.8461538461538461,True
scene_027,clear,13,12,7,22.692307692307693,0.0,0.46153846153846156,0.46153846153846156,0.0,0.0,1.4615384615384615,0.07692307692307687,False
scene_027,partial,13,4,7,22.923076923076923,0.0,0.0,1.0,0.0,0.0,1.5384615384615385,0.6923076923076923,True
scene_028,ambiguous,13,2,7,16.153846153846153,1.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.8461538461538461,True
scene_028,clear,12,6,6,23.166666666666668,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,0.5,False
scene_028,partial,14,3,7,21.357142857142858,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,1.4285714285714286,0.7857142857142857,True
scene_029,ambiguous,12,3,7,15.75,1.0,0.0,0.0,0.0,0.0,4.166666666666667,0.75,True
scene_029,clear,13,8,7,21.76923076923077,0.0,0.7692307692307693,0.15384615384615385,0.0,0.0,1.0769230769230769,0.3846153846153846,False
scene_029,partial,13,5,7,21.0,0.0,0.3076923076923077,0.6923076923076923,0.0,0.0,1.0,0.6153846153846154,True
scene_030,ambiguous,14,3,7,17.0,1.0,0.0,0.0,0.0,0.0,3.357142857142857,0.7857142857142857,True
scene_030,clear,11,10,7,23.636363636363637,0.0,0.6363636363636364,0.2727272727272727,0.0,0.0,1.1818181818181819,0.09090909090909094,False
scene_030,partial,14,2,7,24.5,0.0,0.0,1.0,0.0,0.0,2.0,0.8571428571428572,True
scene_031,ambiguous,12,3,7,15.833333333333334,1.0,0.0,0.0,0.0,0.0,2.9166666666666665,0.75,True
