scene_id,method,prompt_type,mean_num_questions,median_num_questions,mean_latency,median_latency,iqr_latency,n_trials
scene_001,first_question,ambiguous,4.333333333333333,5.0,240.45751237869263,273.96855545043945,56.9488263130188,3
scene_001,first_question,clear,0.0,0.0,6.468995380401611,4.43035364151001,0.328615665435791,5
scene_001,first_question,partial,0.0,0.0,3.801910638809204,3.801910638809204,0.0,1
scene_001,proposed_efe,ambiguous,3.0,3.0,114.0080703496933,114.0080703496933,21.393768906593323,2
scene_001,proposed_efe,clear,0.0,0.0,9.484695255756378,7.879147529602051,4.119376122951508,4
scene_001,proposed_efe,partial,0.0,0.0,6.74560821056366,6.74560821056366,2.648800492286682,2
scene_001,random_question,ambiguous,3.6666666666666665,3.0,180.35710636774698,140.9373390674591,116.19975197315216,3
scene_001,random_question,clear,0.0,0.0,4.480780601501465,4.076188802719116,0.7108720541000366,3
scene_001,random_question,partial,0.0,0.0,8.672886848449707,5.543647527694702,6.2258380651474,3
scene_001,vlm_best_question,ambiguous,4.666666666666667,4.0,275.3008780479431,255.20284843444824,140.61760139465332,3
scene_001,vlm_best_question,clear,0.0,0.0,9.164539098739624,7.3611520528793335,9.389261484146118,4
scene_001,vlm_best_question,partial,0.0,0.0,6.977823615074158,6.977823615074158,2.356939673423767,2
scene_002,first_question,ambiguous,3.6666666666666665,5.0,288.3675201733907,278.04326844215393,219.83268415927887,3
scene_002,first_question,clear,0.0,0.0,5.027901291847229,5.027901291847229,0.9310265779495239,2
scene_002,first_question,partial,2.0,2.0,99.84905751546223,107.44334578514099,79.64213073253632,3
scene_002,proposed_efe,ambiguous,2.6666666666666665,2.0,128.41107869148254,113.72074007987976,28.49307632446289,3
scene_002,proposed_efe,clear,0.0,0.0,4.689932584762573,4.689932584762573,1.2678577899932861,2
scene_002,proposed_efe,partial,1.0,1.0,92.16399300098419,92.16399300098419,65.11859405040741,2
scene_002,random_question,ambiguous,3.3333333333333335,4.0,197.33814946810404,236.15296697616577,84.92230212688446,3
scene_002,random_question,clear,0.0,0.0,8.228971004486084,5.998768091201782,5.602174639701843,3
scene_002,random_question,partial,0.5,0.5,135.9603419303894,135.9603419303894,130.43626809120178,2
scene_002,vlm_best_question,ambiguous,4.0,4.0,223.38283507029215,191.76629281044006,50.40580880641937,3
scene_002,vlm_best_question,clear,0.0,0.0,2.9753591219584146,2.969459295272827,0.2961195707321167,3
scene_002,vlm_best_question,partial,1.0,1.0,95.16216254234314,95.16216254234314,90.75753474235535,2
scene_003,first_question,ambiguous,2.6666666666666665,3.0,188.9999956289927,237.10530257225037,82.19180464744568,3
