method,prompt_type,trials,asked_trials,asked_rate_pct,avg_candidate_count_asked,median_candidate_count_asked,actual_total_questions_asked_trials,actual_mean_q_asked_trials,expected_80_half_total_q_asked_trials,expected_80_half_mean_q_asked_trials,expected_80_split04_total_q_asked_trials,expected_80_split04_mean_q_asked_trials,actual_minus_expected_80_half_total,actual_over_expected_80_half,actual_minus_expected_80_split04_total,actual_over_expected_80_split04
top_score,clear,72.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
top_score,ambiguous,73.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
top_score,partial,71.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
random_candidate,clear,71.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
random_candidate,ambiguous,73.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
random_candidate,partial,72.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
vlm_direct,clear,72.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
vlm_direct,ambiguous,72.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
vlm_direct,partial,72.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
first_question,clear,72.0,3.0,4.166666666666667,2.6666666666666665,2.0,5.0,1.6666666666666667,4.05,1.3499999999999999,4.05,1.3499999999999999,0.9500000000000002,1.234567901234568,0.9500000000000002,1.234567901234568
first_question,ambiguous,72.0,67.0,93.05555555555556,4.731343283582089,4.0,193.0,2.8805970149253732,151.699260952381,2.2641680739161343,152.35876571428577,2.2740114285714292,41.300739047619004,1.272254055743775,40.64123428571423,1.266746938354224
first_question,partial,72.0,31.0,43.05555555555556,3.2580645161290325,2.0,41.0,1.3225806451612903,45.692841904761906,1.4739626420890937,45.978251428571426,1.483169400921659,-4.692841904761906,0.897295906554833,-4.978251428571426,0.8917259514249843
random_question,clear,73.0,2.0,2.73972602739726,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0
random_question,ambiguous,72.0,66.0,91.66666666666667,4.878787878787879,4.0,194.0,2.9393939393939394,152.81710857142858,2.315410735930736,153.50785142857146,2.325876536796537,41.18289142857142,1.2694913665986687,40.492148571428544,1.2637790067061807
random_question,partial,71.0,33.0,46.478873239436616,2.9696969696969697,2.0,45.0,1.3636363636363635,42.95150857142857,1.3015608658008657,43.210251428571425,1.3094015584415584,2.048491428571431,1.0476931194434016,1.789748571428575,1.0414195361576897
vlm_best_question,clear,72.0,4.0,5.555555555555555,3.25,2.0,4.0,1.0,5.978514285714285,1.4946285714285712,5.983085714285714,1.4957714285714285,-1.9785142857142848,0.669062547790182,-1.9830857142857141,0.6685513447432763
vlm_best_question,ambiguous,72.0,66.0,91.66666666666667,4.863636363636363,4.5,193.0,2.9242424242424243,153.27914285714286,2.3224112554112555,153.83152380952384,2.3307806637806645,39.72085714285714,1.259140652814566,39.168476190476156,1.2546193083218435
vlm_best_question,partial,72.0,32.0,44.44444444444444,2.78125,2.0,38.0,1.1875,40.23166095238095,1.2572394047619047,40.45916571428572,1.2643489285714287,-2.231660952380949,0.9445297335592883,-2.4591657142857173,0.9392185757943741
proposed_efe,clear,71.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,0.0,
proposed_efe,ambiguous,72.0,66.0,91.66666666666667,4.7727272727272725,4.0,149.0,2.257575757575758,150.30808000000002,2.277395151515152,150.98968000000002,2.287722424242425,-1.3080800000000181,0.9912973407683737,-1.9896800000000212,0.986822410644224
proposed_efe,partial,73.0,38.0,52.054794520547944,2.9473684210526314,2.0,50.0,1.3157894736842106,49.50566095238095,1.302780551378446,49.8131657142857,1.3108727819548869,0.4943390476190501,1.0099855054575384,0.18683428571429772,1.0037507009047755
